Date;Produit;Region;Ventes;Prix Unitaire;Cost Unit;Promo;Stock;Marketing Budget;Customer Satisfaction;Weather;Holiday;Revenue
2021-06-06;Produit_B;Rabat;105;23.81;44.48;1;787;4996;2.1;Sunny;No;2499.66
2021-06-07;Produit_C;Tanger;280;45.15;13.1;0;260;4335;1.2;Cloudy;No;12642.07
2021-06-08;Produit_D;Rabat;283;36.95;27.31;1;800;4968;3.0;Sunny;No;10456.02
2021-06-09;Produit_E;Tanger;107;72.0;37.23;1;943;1295;3.8;Cloudy;No;7704.44
2021-06-10;Produit_A;Rabat;223;66.27;45.99;1;278;4851;4.5;Sunny;Yes;14777.49
2021-06-11;Produit_B;Tanger;195;83.8;43.6;1;302;1045;4.5;Cloudy;No;16341.37
2021-06-12;Produit_C;Rabat;74;24.36;32.67;1;319;4314;1.7;Sunny;No;1802.29
2021-06-13;Produit_D;Tanger;147;62.38;31.85;0;392;1655;3.9;Cloudy;No;9170.23
2021-06-14;Produit_E;Rabat;276;93.25;26.21;0;392;2625;3.3;Sunny;No;25736.64
2021-06-15;Produit_A;Tanger;110;56.22;46.74;1;358;2421;2.7;Cloudy;Yes;6184.15
2021-06-16;Produit_B;Rabat;183;41.88;24.55;0;150;2092;2.6;Sunny;No;7664.85
2021-06-17;Produit_C;Tanger;146;55.93;47.71;0;940;2180;3.9;Cloudy;No;8165.66
2021-06-18;Produit_D;Rabat;237;88.12;16.93;1;922;3505;1.5;Sunny;No;20883.44
2021-06-19;Produit_E;Tanger;167;22.56;10.62;1;166;1398;4.4;Cloudy;No;3767.62
2021-06-20;Produit_A;Rabat;172;42.32;39.19;0;371;3045;2.8;Sunny;Yes;7278.58
2021-06-21;Produit_B;Tanger;238;46.64;25.57;0;191;3223;2.7;Cloudy;No;11100.52
2021-06-22;Produit_C;Rabat;55;99.36;18.84;0;692;4951;3.1;Sunny;No;5465.03
2021-06-23;Produit_D;Tanger;108;59.98;21.55;1;764;3410;4.0;Cloudy;No;6477.74
2021-06-24;Produit_E;Rabat;265;36.23;25.2;1;667;3978;2.2;Sunny;No;9600.04
2021-06-25;Produit_A;Tanger;257;26.07;37.29;1;981;1836;1.5;Cloudy;Yes;6700.7
2021-06-26;Produit_B;Rabat;66;12.45;6.44;0;349;1515;2.7;Sunny;No;821.76
2021-06-27;Produit_C;Tanger;50;84.26;47.73;1;642;1895;2.4;Cloudy;No;4212.92
2021-06-28;Produit_D;Rabat;84;24.57;45.36;1;475;4348;3.0;Sunny;No;2064.2
2021-06-29;Produit_E;Tanger;264;66.1;38.93;0;948;1479;3.3;Cloudy;No;17450.22
2021-06-30;Produit_A;Rabat;187;40.24;42.35;1;170;3738;1.7;Sunny;Yes;7525.34
2021-07-01;Produit_B;Tanger;53;54.76;7.77;1;103;4973;1.3;Cloudy;No;2902.37
2021-07-02;Produit_C;Rabat;270;87.16;37.08;0;250;1946;4.9;Sunny;No;23531.9
2021-07-03;Produit_D;Tanger;296;22.03;40.72;0;884;4850;1.9;Cloudy;No;6520.95
2021-07-04;Produit_E;Rabat;85;18.48;39.99;1;264;4826;4.9;Sunny;No;1570.7
2021-07-05;Produit_A;Tanger;287;53.84;14.21;1;482;4987;3.5;Cloudy;Yes;15453.4
2021-07-06;Produit_B;Rabat;55;34.53;39.7;0;162;4779;1.1;Sunny;No;1899.37
2021-07-07;Produit_C;Tanger;237;46.71;30.13;0;222;3896;3.0;Cloudy;No;11069.38
2021-07-08;Produit_D;Rabat;201;57.58;49.81;1;322;4702;4.7;Sunny;No;11573.02
2021-07-09;Produit_E;Tanger;171;62.09;23.05;1;786;4239;1.6;Cloudy;No;10617.36
2021-07-10;Produit_A;Rabat;249;72.95;34.29;1;944;3627;4.3;Sunny;Yes;18164.52
2021-07-11;Produit_B;Tanger;51;92.01;30.07;1;136;3662;3.8;Cloudy;No;4692.76
2021-07-12;Produit_C;Rabat;154;56.22;8.49;0;795;2861;2.1;Sunny;No;8657.29
2021-07-13;Produit_D;Tanger;102;11.73;33.17;0;349;1717;1.9;Cloudy;No;1196.58
2021-07-14;Produit_E;Rabat;281;29.18;12.99;1;296;4718;4.4;Sunny;No;8200.44
2021-07-15;Produit_A;Tanger;144;92.53;5.89;0;535;1686;4.8;Cloudy;Yes;13324.35
2021-07-16;Produit_B;Rabat;104;21.39;27.77;1;235;2308;4.0;Sunny;No;2224.75
2021-07-17;Produit_C;Tanger;128;62.41;42.0;0;538;2674;3.1;Cloudy;No;7988.21
2021-07-18;Produit_D;Rabat;83;99.3;48.1;0;629;3821;4.3;Sunny;No;8241.57
2021-07-19;Produit_E;Tanger;217;17.26;45.77;0;441;4808;3.7;Cloudy;No;3746.2
2021-07-20;Produit_A;Rabat;275;50.47;8.21;1;394;2273;4.0;Sunny;Yes;13878.05
2021-07-21;Produit_B;Tanger;55;22.93;20.21;1;955;2173;1.8;Cloudy;No;1261.12
2021-07-22;Produit_C;Rabat;171;38.8;20.88;0;585;3509;4.9;Sunny;No;6635.47
2021-07-23;Produit_D;Tanger;60;12.76;23.96;0;871;4129;1.4;Cloudy;No;765.38
2021-07-24;Produit_E;Rabat;188;93.27;44.92;1;975;1737;4.0;Sunny;No;17535.61
2021-07-25;Produit_A;Tanger;263;23.75;25.04;0;438;2535;1.1;Cloudy;Yes;6245.58
2021-07-26;Produit_B;Rabat;91;41.31;48.35;0;831;3229;1.9;Sunny;No;3759.03
2021-07-27;Produit_C;Tanger;249;48.45;9.81;0;378;1808;3.5;Cloudy;No;12064.67
2021-07-28;Produit_D;Rabat;227;81.42;49.0;0;811;1590;2.3;Sunny;No;18482.93
2021-07-29;Produit_E;Tanger;292;56.41;9.52;0;907;2727;2.4;Cloudy;No;16473.02
2021-07-30;Produit_A;Rabat;266;27.05;29.59;0;178;2662;2.7;Sunny;Yes;7194.51
2021-07-31;Produit_B;Tanger;296;10.31;16.53;1;641;2499;3.0;Cloudy;No;3051.35
2021-08-01;Produit_B;Tanger;184;42.55;49.72;0;740;3323;1.8;Cloudy;No;7829.93
2021-08-02;Produit_C;Rabat;142;42.63;29.91;0;959;2696;2.3;Sunny;No;6053.32
2021-08-03;Produit_D;Tanger;207;71.04;32.8;0;375;4607;1.9;Cloudy;No;14705.89
2021-08-04;Produit_E;Rabat;158;95.45;37.43;0;880;2779;4.5;Sunny;No;15081.77
2021-08-05;Produit_A;Tanger;108;10.7;37.69;1;865;1712;4.5;Cloudy;Yes;1155.3
2021-08-06;Produit_B;Rabat;148;88.25;48.35;1;741;4502;1.6;Sunny;No;13061.54
2021-08-07;Produit_C;Tanger;116;13.68;37.15;1;178;3993;1.3;Cloudy;No;1587.26
2021-08-08;Produit_D;Rabat;226;42.27;10.24;1;693;3740;4.7;Sunny;No;9553.06
2021-08-09;Produit_E;Tanger;145;60.91;25.52;1;500;3447;4.3;Cloudy;No;8831.32
2021-08-10;Produit_A;Rabat;178;52.75;13.74;1;820;1592;4.0;Sunny;Yes;9389.97
2021-08-11;Produit_B;Tanger;112;92.58;48.01;1;600;4029;4.8;Cloudy;No;10368.47
2021-08-12;Produit_C;Rabat;225;25.06;41.79;0;940;2941;3.9;Sunny;No;5639.43
2021-08-13;Produit_D;Tanger;76;60.73;32.01;1;174;3639;3.9;Cloudy;No;4615.14
2021-08-14;Produit_E;Rabat;250;65.41;36.81;0;575;3757;4.4;Sunny;No;16351.71
2021-08-15;Produit_A;Tanger;65;51.38;40.28;0;302;4865;4.6;Cloudy;Yes;3339.83
2021-08-16;Produit_B;Rabat;88;51.83;36.06;0;621;1025;1.2;Sunny;No;4561.42
2021-08-17;Produit_C;Tanger;289;94.07;24.66;0;527;2662;1.5;Cloudy;No;27184.81
2021-08-18;Produit_D;Rabat;106;83.11;28.75;1;524;2652;1.4;Sunny;No;8809.96
2021-08-19;Produit_E;Tanger;199;11.96;29.86;1;351;2117;3.6;Cloudy;No;2379.08
2021-08-20;Produit_A;Rabat;78;89.36;27.06;0;781;2775;2.9;Sunny;Yes;6969.94
2021-08-21;Produit_B;Tanger;283;81.67;23.18;1;287;4055;3.2;Cloudy;No;23113.19
2021-08-22;Produit_C;Rabat;289;97.52;12.24;0;207;3037;3.7;Sunny;No;28182.03
2021-08-23;Produit_D;Tanger;240;97.96;8.06;1;622;4471;2.0;Cloudy;No;23509.47
2021-08-24;Produit_E;Rabat;78;61.21;39.3;0;703;4709;4.0;Sunny;No;4774.29
2021-08-25;Produit_A;Tanger;239;48.44;16.22;0;157;3595;5.0;Cloudy;Yes;11577.01
2021-08-26;Produit_B;Rabat;266;24.59;44.86;0;299;2543;1.7;Sunny;No;6539.65
2021-08-27;Produit_C;Tanger;77;97.74;12.29;0;231;1940;4.3;Cloudy;No;7526.11
2021-08-28;Produit_D;Rabat;229;92.82;33.39;0;356;2240;1.4;Sunny;No;21254.8
2021-08-29;Produit_E;Tanger;58;23.18;9.47;1;227;2621;3.9;Cloudy;No;1344.64
2021-08-30;Produit_A;Rabat;152;51.47;43.54;0;393;1985;4.5;Sunny;Yes;7823.01
2021-08-31;Produit_B;Tanger;124;48.84;5.32;0;762;2177;1.8;Cloudy;No;6056.28
2021-09-01;Produit_B;Tanger;259;82.34;45.08;0;739;1417;1.7;Cloudy;No;21324.96
2021-09-02;Produit_C;Rabat;81;21.97;46.13;1;111;4487;1.2;Sunny;No;1779.66
2021-09-03;Produit_D;Tanger;84;67.62;44.0;1;674;1061;4.3;Cloudy;No;5680.37
2021-09-04;Produit_E;Rabat;88;64.85;5.06;0;205;4750;3.4;Sunny;No;5706.39
2021-09-05;Produit_A;Tanger;138;81.94;30.81;0;577;4140;3.7;Cloudy;Yes;11307.52
2021-09-06;Produit_B;Rabat;294;74.31;17.23;1;840;2239;2.9;Sunny;No;21846.24
2021-09-07;Produit_C;Tanger;92;33.17;17.18;0;153;3895;4.3;Cloudy;No;3051.95
2021-09-08;Produit_D;Rabat;188;66.29;34.04;1;492;2151;2.3;Sunny;No;12461.61
2021-09-09;Produit_E;Tanger;69;89.3;19.0;0;264;4956;1.2;Cloudy;No;6161.62
2021-09-10;Produit_A;Rabat;290;71.49;33.9;0;983;1625;4.0;Sunny;Yes;20732.5
2021-09-11;Produit_B;Tanger;112;29.89;37.54;0;645;2341;3.9;Cloudy;No;3347.7
2021-09-12;Produit_C;Rabat;227;29.63;11.48;0;866;1685;4.6;Sunny;No;6726.01
2021-09-13;Produit_D;Tanger;77;50.25;12.78;1;872;2601;3.1;Cloudy;No;3869.37
2021-09-14;Produit_E;Rabat;168;36.13;11.86;0;390;3678;1.5;Sunny;No;6069.18
2021-09-15;Produit_A;Tanger;70;60.23;42.43;1;141;1319;2.9;Cloudy;Yes;4215.8
2021-09-16;Produit_B;Rabat;146;76.15;46.24;0;829;1082;3.9;Sunny;No;11118.26
2021-09-17;Produit_C;Tanger;227;35.71;12.92;0;373;1261;3.1;Cloudy;No;8106.89
2021-09-18;Produit_D;Rabat;59;37.74;35.09;0;149;3522;4.8;Sunny;No;2226.78
2021-09-19;Produit_E;Tanger;157;31.55;19.83;0;622;4130;2.2;Cloudy;No;4952.69
2021-09-20;Produit_A;Rabat;236;80.78;46.2;0;612;1836;2.6;Sunny;Yes;19063.06
2021-09-21;Produit_B;Tanger;155;34.67;9.43;1;319;1813;1.6;Cloudy;No;5374.45
2021-09-22;Produit_C;Rabat;127;96.45;11.36;0;534;3737;2.3;Sunny;No;12249.44
2021-09-23;Produit_D;Tanger;273;66.72;47.82;0;313;4783;3.9;Cloudy;No;18213.87
2021-09-24;Produit_E;Rabat;214;12.43;27.14;0;762;4251;3.4;Sunny;No;2659.32
2021-09-25;Produit_A;Tanger;138;70.36;26.45;0;378;4448;1.8;Cloudy;Yes;9709.83
2021-09-26;Produit_B;Rabat;263;58.73;16.57;1;893;1925;3.9;Sunny;No;15445.87
2021-09-27;Produit_C;Tanger;64;50.61;7.57;1;529;4719;4.2;Cloudy;No;3238.8
2021-09-28;Produit_D;Rabat;163;74.25;11.85;1;375;4814;1.7;Sunny;No;12102.07
2021-09-29;Produit_E;Tanger;79;61.66;13.25;0;618;3975;4.5;Cloudy;No;4871.14
2021-09-30;Produit_A;Rabat;238;28.68;41.19;0;327;4910;2.4;Sunny;Yes;6825.12
2021-10-01;Produit_B;Tanger;222;93.18;44.34;0;827;2846;1.3;Cloudy;No;20685.62
2021-10-02;Produit_C;Rabat;199;15.95;5.86;1;288;3096;3.6;Sunny;No;3173.97
2021-10-03;Produit_D;Tanger;126;20.38;48.74;1;529;1271;3.2;Cloudy;No;2567.73
2021-10-04;Produit_E;Rabat;83;87.5;21.43;0;755;4729;4.8;Sunny;No;7262.53
2021-10-05;Produit_A;Tanger;288;99.03;42.15;0;259;1476;2.3;Cloudy;Yes;28521.89
2021-10-06;Produit_B;Rabat;261;10.05;9.13;0;916;1086;4.2;Sunny;No;2623.55
2021-10-07;Produit_C;Tanger;248;45.16;10.17;1;599;3327;1.5;Cloudy;No;11199.72
2021-10-08;Produit_D;Rabat;130;52.93;23.89;0;634;2370;1.4;Sunny;No;6880.36
2021-10-09;Produit_E;Tanger;79;40.12;21.87;1;370;1630;1.3;Cloudy;No;3169.84
2021-10-10;Produit_A;Rabat;227;59.19;48.0;1;869;3499;1.9;Sunny;Yes;13436.02
2021-10-11;Produit_B;Tanger;122;97.84;9.53;1;850;4709;3.1;Cloudy;No;11937.05
2021-10-12;Produit_C;Rabat;300;32.78;11.61;0;352;4804;1.0;Sunny;No;9834.75
2021-10-13;Produit_D;Tanger;163;99.85;41.43;1;807;3931;2.7;Cloudy;No;16276.02
2021-10-14;Produit_E;Rabat;299;21.97;8.71;1;511;2614;3.4;Sunny;No;6567.81
2021-10-15;Produit_A;Tanger;182;65.3;20.27;0;388;3380;1.3;Cloudy;Yes;11885.17
2021-10-16;Produit_B;Rabat;97;19.1;47.51;0;675;3154;3.6;Sunny;No;1852.86
2021-10-17;Produit_C;Tanger;183;58.99;13.12;0;320;2083;3.1;Cloudy;No;10796.08
2021-10-18;Produit_D;Rabat;174;41.12;44.51;0;439;2715;3.0;Sunny;No;7154.94
2021-10-19;Produit_E;Tanger;270;53.93;18.28;0;270;1243;3.5;Cloudy;No;14560.85
2021-10-20;Produit_A;Rabat;134;15.1;13.38;0;952;3725;3.5;Sunny;Yes;2023.0
